	latitude	longitude	radius	station	records
118	10.917	-63.967	5.0	PORLAMAR	739
119	11.233	169.85	5.0	UTIRIK ATOLL M.ISL	577
120	11.3	167.48	5.0	RONGERIK	145
121	11.3167	-12.3	5.0	LABE	3485
122	11.35	162.35	5.0	ENEWETAK	16361
123	11.52	165.55	5.0	BIKINI	294
124	11.87	-15.5	5.0	BISSAU	2569
125	12.633	-8.033	5.0	BAMAKO	18540
126	12.7	28.433	5.0	EN NAHUD	198
127	12.917	74.883	5.0	MANGALORE/BAJPE	2209
128	13.0667	-9.4833	5.0	KITA	4283
129	13.167	32.667	5.0	AROMA	298
130	13.3	-87.1833	5.0	CHOLUTECA	767
131	13.483	22.45	5.0	GENINA	1058
132	13.567	-89.833	5.0	ACAJUTLA	185
133	13.7	-89.117	5.0	SAN SALVADOR/ILOPAN	689
134	13.75	-60.98	5.0	VIEUX FORT	815
135	13.85	20.85	5.0	ABECHE	4728
136	13.917	-90.817	5.0	SAN JOSE	1220
137	13.917	100.6	5.0	DON MUANG	780
138	14.033	35.4	5.0	GEDAREF	238
139	14.4	33.483	5.0	WAD MEDANI	269
140	14.4333	-11.4333	5.0	KAYES	12798
141	14.5	-4.2	5.0	MOPTI-SEVARE	11065
142	14.8	-17.0667	5.0	THIES	3844
143	14.8	100.617	5.0	LOP BURI	837
144	15.117	105.783	5.0	PAKSE	590
145	15.15	76.95	5.0	BELLARY	989
146	15.4167	108.7	5.0	CHU LAI	822
147	15.58	32.55	5.0	AL-KHARTUM	3020
148	15.717	-88.6	5.0	PUERTO BARRIOS	639
149	16.433	101.15	5.0	PHETCHABUN	401
150	16.55	104.65	5.0	SAVANNAKHET	508
151	16.55	111.617	5.0	HOANG SA (PATTLE)	417
152	16.7333	-9.6333	5.0	AIOUN ELATROUSS	4231
153	17.4	-83.9333	5.0	SWAN ISLAND	22712
154	17.417	104.783	5.0	NAKHON PHANOM	2528
155	17.7	-64.8	5.0	ST CROIX (BENEDICT FIELD)	346
156	17.7	33.967	5.0	ATBARA	361
157	18.0	19.167	5.0	FAYA	2999
158	18.0167	-66.5	5.0	PONCE LOSEY FIELD	4773
159	18.55	31.85	5.0	KARIMA	2435
160	18.9	72.82	5.0	COLABA	973
161	18.9167	-155.6833	5.0	MORSE FIELD	492
162	19.05	-69.3833	5.0	SABANA DE LA MAR	4059
163	19.883	102.133	5.0	LUANG-PRABANG	472
164	20.48	85.87	5.0	CUTTACK	318
165	20.57	74.53	5.0	MALEGAON	2563
166	21.15	-157.1	5.0	MOLOKAI HOMESTEAD FIELD	1921
167	21.45	-71.15	5.0	TURKS ISLAND	10548
168	21.47	83.98	5.0	SAMBALPUR	4315
169	22.0	120.75	5.0	467590	4646
170	22.0333	-159.7833	5.0	BARKING SANDS	5267
171	22.25	91.82	5.0	CHATTAGRAM	1629
172	22.37	-73.03	5.0	MAYAGUAN	1160
173	22.45	70.083	5.0	JAMNAGAR	895
174	22.5	103.95	5.0	HEKOU	13535
175	22.77	88.37	5.0	BARAKPUR	388
176	23.1	-82.43	5.0	VILLA SAN CRISTOBAL DE LA HABA	882
177	23.28	69.67	5.0	BHUJ	1679
178	23.73	-99.11	5.0	CIUDAD VICTORIA	1366
179	23.8167	5.15	5.0	IN AMGUEL	144
180	24.3	118.083	5.0	CHIANGYANG	188
181	24.83	92.85	5.0	SILCHAR	1477
182	24.8333	113.5	5.0	CHU CHIANG	1393
183	25.0167	102.8333	5.0	KAN-HAI-TZU	598
184	25.25	55.37	5.0	SHARJAH	2477
185	25.2667	-76.3	5.0	ELEUTHERA ISLAND	6389
186	25.5	29.02	5.0	AL-DAKHLA	2591
187	25.5667	91.8833	5.0	SHILLONG S06 03Z	280
188	25.77	87.52	5.0	PURNEA	179
189	25.88	89.43	5.0	LALMANIR HAT	407
190	25.9	-81.7167	5.0	DELTA SEVEN	436
191	26.2333	-97.6667	5.0	HARLINGEN AAF	2317
192	26.3667	-80.1	5.0	BOCA RATON (AAF)	1394
193	26.4	-98.35	5.0	MISSION (MOORE FIELD)	2133
194	26.6167	-78.3667	5.0	GOLD ROCK CREEK	13583
195	26.717	92.8	5.0	TEZPUR/BINDUKURI	424
196	26.717	127.783	5.0	IEJIMA AUXILIARY AB	1571
197	26.9667	1.0833	5.0	AOULEF	3606
198	26.983	84.85	5.0	RAXAUL	1140
199	27.05	88.3	5.0	DARJEELING	116
200	27.2	31.12	5.0	ASYUT	4165
201	27.4667	-81.3667	5.0	SEBRING HENDRICKS FIELD	1878
202	27.5333	-99.4833	5.0	LAREDO	5690
203	27.6667	98.3833	5.0	LA WANG/TZUKEI	857
204	27.7	68.92	5.0	SUKKUR	668
205	27.7	85.367	5.0	KATHMANDU AIRPORT	651
206	27.95	-80.5667	5.0	VALKARIA	798
207	28.37	28.93	5.0	AL-WAHAT AL-BAHRIYA	1848
208	28.63	77.2	5.0	NEW DEHLI	2068
209	28.7667	-97.1167	5.0	VICTORIA (ALOE AAF)	198
210	28.9833	-89.3667	5.0	BURRWOOD	1458
211	29.0	135.0	5.0	OCEAN WEATHER SHIP T	5347
212	29.967	-95.35	5.0	HOUSTON/INTERCONTIN	1796
213	30.0	-140.0	5.0	OCEAN WEATHER SHIP N	19180
