	latitude	longitude	radius	station	records
0	-77.9667	-38.8	5.0	GENERAL BELGRANO	1782
1	-69.5	159.4	5.0	LENINGRADSKAJA	2575
2	-62.183	-58.883	5.0	BELLINGSHAUSEN AWS	6342
3	-59.45	-27.267	5.0	CORBETA URUGUAY DN	275
4	-53.8	-67.75	5.0	RIO GRANDE AIRPORT	3267
5	-43.2333	-65.3	5.0	ALMIRANTE ZAR	1150
6	-42.417	173.7	5.0	KAIKOURA	5055
7	-35.367	-57.283	5.0	PUNTA INDIO B.A.	151
8	-35.1	173.267	5.0	KAITAIA	14537
9	-34.017	22.383	5.0	GEORGE AIRPORT	4491
10	-33.033	27.833	5.0	EAST LONDON	3098
11	-31.35	-54.117	5.0	BAGE (AEROPORTO)	1012
12	-28.8	24.767	5.0	KIMBERLEY	9829
13	-25.783	25.533	5.0	MAFIKENG WO	1154
14	-25.55	45.533	5.0	FAUX-CAP	549
15	-24.667	25.917	5.0	GABORONE	695
16	-23.383	43.733	5.0	TOLIARA	5308
17	-22.8	47.833	5.0	FARAFANGANA	2385
18	-22.483	17.467	5.0	HOSEA KUTAKO INTL A	7483
19	-21.817	-138.8	5.0	MURUROA	6907
20	-21.75	43.367	5.0	MOROMBE	1328
21	-21.45	47.1	5.0	FIANARANTSOA	1453
22	-21.333	55.483	5.0	ST. PIERRE/FONDS	5723
23	-21.233	-175.15	5.0	FUAAMOTU	5436
24	-21.217	27.5	5.0	FRANCISTOWN	613
25	-21.2	48.367	5.0	MANANJARY	4840
26	-20.7667	-138.55	5.0	TUREIA	271
27	-20.283	44.317	5.0	MORONDAVA	3268
28	-20.233	169.767	5.0	ANEITYUM	125
29	-19.833	48.8	5.0	MAHANORO	1069
30	-19.783	-47.967	5.0	UBERABA	134
31	-19.6	18.117	5.0	GROOTFONTEIN	4094
32	-19.45	29.85	5.0	GWERU	5186
33	-18.633	26.85	5.0	HWANGE NATIONAL PAR	2189
34	-18.067	-140.95	5.0	HAO	18186
35	-17.917	31.133	5.0	HARARE (KUTSAGA)	926
36	-17.7333	139.5333	5.0	BURKETOWN	145
37	-17.3167	123.6333	5.0	DERBY	7081
38	-17.083	49.817	5.0	SAINTE-MARIE AERODR	681
39	-17.05	42.717	5.0	ILE JUAN DE NOVA	5730
40	-16.833	29.617	5.0	KAROI	4958
41	-16.45	-151.75	5.0	BORA-BORA	11160
42	-15.6	-56.1	5.0	CUIABA	443
43	-15.517	167.217	5.0	PEKOA AIRPORT	661
44	-15.0	50.333	5.0	ANTALAHA	4654
45	-14.95	-147.659	5.0	RANGIROA	5720
46	-14.95	-40.883	5.0	VITORIA DA CONQUIST	123
47	-14.933	13.567	5.0	LUBANGO	236
48	-14.633	47.767	5.0	ANALALAVA	1607
49	-14.283	50.167	5.0	SAMBAVA	2763
50	-13.8	-171.783	5.0	APIA	10496
51	-13.75	34.583	5.0	SALIMA	2342
52	-13.733	-76.217	5.0	PISCO	1501
53	-13.367	50.0	5.0	VOHEMAR	807
54	-13.317	48.317	5.0	FASCENE (NOSSI-BE)	786
55	-12.5	177.05	5.0	ROTUMA	6835
56	-12.15	-45.0	5.0	BARREIRAS	1194
57	-12.117	44.433	5.0	OUANI (ANJOUAN)	3271
58	-11.7	43.233	5.0	MORONI AIRPORT	5231
59	-11.583	47.283	5.0	ILES GLORIEUSES	7379
60	-11.3	-41.867	5.0	IRECE	347
61	-10.917	-37.05	5.0	ARACAJU	417
62	-10.7	-48.4	5.0	PORTO NACIONAL	1005
63	-10.7	152.833	5.0	MISIMA ISLAND	2055
64	-10.7	165.8	5.0	SANTA CRUZ ISLAND	151
65	-9.95	33.883	5.0	KARONGA	2595
66	-9.517	-35.783	5.0	MACEIO (AEROPORTO)	133
67	-9.35	46.533	5.0	ALDABRA	143
68	-9.333	-54.967	5.0	CACHIMBO AERO	2176
69	-9.2	124.367	5.0	OE-CUSSIE	498
70	-9.1	-44.117	5.0	BOM JESUS	376
71	-8.933	33.467	5.0	MBEYA	767
72	-8.55	126.567	5.0	KOMORO	6384
73	-8.367	-74.567	5.0	PUCALLPA	328
74	-7.967	112.7	5.0	MALANG/ABDUL (AFB)	586
75	-7.633	35.767	5.0	IRINGA	677
76	-7.617	111.517	5.0	MADIUN/ISWAHYUD AFB	3443
77	-7.333	108.25	5.0	CIBEUREM/TASIK(AFB)	625
78	-7.317	-39.3	5.0	BARBALHA	334
79	-7.017	-37.267	5.0	PATOS	137
80	-6.833	37.65	5.0	MOROGORO	142
81	-6.783	-79.817	5.0	CHICLAYO	1504
82	-6.55	107.667	5.0	KALIJATI	1040
83	-6.267	-57.733	5.0	JACAREACANGA	287
84	-6.167	35.767	5.0	DODOMA	1096
85	-5.5	-45.267	5.0	BARRA DO CORDA	161
86	-5.2	-39.3	5.0	QUIXERAMOBIM	334
87	-5.083	32.833	5.0	TABORA AIRPORT	1062
88	-5.083	39.067	5.0	TANGA	776
89	-5.05	-42.817	5.0	TERESINA	313
90	-4.883	29.667	5.0	KIGOMA	112
91	-4.883	38.283	5.0	MOMBO	113
92	-4.567	-81.233	5.0	TALARA	1823
93	-4.45	105.183	5.0	MENGGALA/ASTRA KSET	181
94	-4.367	15.25	5.0	KINSHASA/BINZA	383
95	-4.1	122.433	5.0	KENDARI/WOLTER MONG	1064
