	latitude	longitude	radius	station	records
0	-69.5	159.4	5.0	LENINGRADSKAJA	2575
1	-59.45	-27.267	5.0	CORBETA URUGUAY DN	275
2	-43.78	172.02	5.0	RAKAIA	12147
3	-41.3	174.63	5.0	OUTLOOK HILL	11385
4	-36.3	174.7	5.0	MT TAMAHUNGA	14698
5	-28.25	28.3333	5.0	BETHLEHEM AIRPORT	11390
6	-26.05	22.45	5.0	TSABONG	836
7	-25.783	25.533	5.0	MAFIKENG WO	1154
8	-22.0167	-60.6167	5.0	MARISCAL ESTIGARRIBIA	708
9	-21.417	25.6	5.0	LETLHAKANE	693
10	-21.233	-175.15	5.0	FUAAMOTU	5436
11	-21.217	27.5	5.0	FRANCISTOWN	613
12	-18.533	32.15	5.0	RUSAPE	2604
13	-18.3167	-59.7667	5.0	ROBORE	144
14	-18.217	28.933	5.0	GOKWE	1693
15	-17.7333	139.5333	5.0	BURKETOWN	145
16	-15.6	-56.1	5.0	CUIABA	443
17	-13.783	33.767	5.0	LILONGWE INTL AIRPO	7888
18	-12.15	-77.0	5.0	LAS PALMAS	389
19	-11.0333	-68.7833	5.0	COBIJA	222
20	-10.7	165.8	5.0	SANTA CRUZ ISLAND	151
21	-9.2	124.367	5.0	OE-CUSSIE	498
22	-8.55	126.567	5.0	KOMORO	6384
23	-5.2	-80.6	5.0	PIURA	919
24	-4.367	15.25	5.0	KINSHASA/BINZA	383
25	-3.7333	-73.25	5.0	MORONA	691
26	3.1	101.65	5.0	PETALING JAYA	10635
27	4.317	21.183	5.0	MOBAYE	150
28	8.3333	80.4167	5.0	ANURADHAPURA	612
29	9.5	-7.567	5.0	ODIENNE	140
30	10.517	-71.65	5.0	LA CANADA	631
31	13.467	7.083	5.0	MARADI	18936
32	13.683	44.15	5.0	TAIZ (CIV/MIL)	449
33	14.75	42.967	5.0	HODEIDAH (CIV/MIL)	542
34	15.117	145.733	5.0	SAIPAN/ISLEY (CGS)	7992
35	16.1667	-95.1667	5.0	SALINA CRUZ	556
36	16.883	42.583	5.0	GIZAN	1629
37	16.9	96.183	5.0	MINGALADON	945
38	18.3	42.8	5.0	KHAMIS MUSHAIT	11138
39	18.633	-91.833	5.0	CUIDAD DEL CARMEN	185
40	20.667	58.9	5.0	MASIRAH	514
41	21.3	99.617	5.0	KENGTUNG	231
42	22.283	-97.85	5.0	TAMPICO	165
43	22.75	-12.483	5.0	ZOUERATE	2072
44	22.767	81.9	5.0	PENDRA ROAD	5308
