	latitude	longitude	radius	station	records
0	-78.4	87.583	5.0	SOVIETSKAVA	273
1	-70.4333	24.3167	5.0	BASE ROI BAUDOUIN	1097
2	-69.73	95.05	5.0	PIONERSKAVA	121
3	-66.27	100.73	5.0	BUNGER OASIS	548
4	-53.1	73.7167	5.0	HEARD IS.(THESPIT)	2295
5	-42.8833	147.3333	5.0	HOBART	1774
6	-42.2	145.05	5.0	GEOGERTOWN	2980
7	-36.85	174.78	5.0	AUCKLAND	2917
8	-34.58	-58.48	5.0	BUENOS AIRES	107
9	-33.6	115.4667	5.0	LUDLOW	539
10	-32.5667	148.95	5.0	WELLINGTON	948
11	-30.5167	151.65	5.0	ARMIDALE	728
12	-30.0833	145.9667	5.0	BOURKE (S23'05'11'17)	130
13	-27.65	152.7167	5.0	AMBERLEY	2455
14	-22.03	-63.68	5.0	YACUIBA	670
15	-17.6833	141.0667	5.0	NORMANTON AIRPORT	229
16	-17.38	-66.17	5.0	COCHABAMBA	1502
17	-14.45	-67.53	5.0	RURRENABAQUE	125
18	-13.55	32.583	5.0	CHIPATA	140
19	-12.37	13.53	5.0	LOBITO	100
20	-10.82	-65.37	5.0	GUAYARAMERIN	618
21	-2.2	-81.0	5.0	CHINCHIPE	601
22	5.3333	163.0167	5.0	KUSAIE/CAROLINES	1652
23	8.28	73.05	5.0	MALIKU	574
24	8.8667	2.6	5.0	TCHAOUROU	6364
25	10.3667	-12.0833	5.0	MAMOU	2746
26	10.3833	-9.3	5.0	KANKAN	11475
27	10.83	106.97	5.0	AN LOC	585
28	11.3	167.48	5.0	RONGERIK	145
29	11.3167	-12.3	5.0	LABE	3485
30	11.52	165.55	5.0	BIKINI	294
31	13.0667	-9.4833	5.0	KITA	4283
32	13.75	-60.98	5.0	VIEUX FORT	815
33	14.4333	-11.4333	5.0	KAYES	12798
34	14.5	-4.2	5.0	MOPTI-SEVARE	11065
35	14.8	-17.0667	5.0	THIES	3844
36	15.85	73.63	5.0	VENGURLA	121
37	16.7333	-9.6333	5.0	AIOUN ELATROUSS	4231
38	17.7	-64.8	5.0	ST CROIX (BENEDICT FIELD)	346
39	18.0167	-66.5	5.0	PONCE LOSEY FIELD	4773
40	18.9167	-155.6833	5.0	MORSE FIELD	492
41	20.48	85.87	5.0	CUTTACK	318
42	21.15	-157.1	5.0	MOLOKAI HOMESTEAD FIELD	1921
43	22.37	-73.03	5.0	MAYAGUAN	1160
44	22.77	88.37	5.0	BARAKPUR	388
45	23.73	-99.11	5.0	CIUDAD VICTORIA	1366
46	24.3	118.083	5.0	CHIANGYANG	188
47	25.5	29.02	5.0	AL-DAKHLA	2591
48	25.5667	91.8833	5.0	SHILLONG S06 03Z	280
49	25.88	89.43	5.0	LALMANIR HAT	407
50	26.2333	-97.6667	5.0	HARLINGEN AAF	2317
51	26.3667	-80.1	5.0	BOCA RATON (AAF)	1394
52	26.4	-98.35	5.0	MISSION (MOORE FIELD)	2133
53	27.4667	-81.3667	5.0	SEBRING HENDRICKS FIELD	1878
54	27.5333	-99.4833	5.0	LAREDO	5690
55	28.37	28.93	5.0	AL-WAHAT AL-BAHRIYA	1848
56	28.7667	-97.1167	5.0	VICTORIA (ALOE AAF)	198
57	28.8667	-100.5167	5.0	EAGLE PASS (AAF)	311
58	28.9833	-89.3667	5.0	BURRWOOD	1458
59	29.5333	-98.2833	5.0	SAN ANTONIO RANDOLPH AFB	861
60	30.0333	-90.0333	5.0	NEW ORLEANS (AAB)	436
61	30.0667	-85.5833	5.0	PANAMA CITY (TYNDALL FIELD)	1074
62	30.2	-97.6667	5.0	AUSTIN (BERGSTROM FIELD)	1076
63	30.4	-88.9167	5.0	BILOXI (KEESLER AFB)	2014
64	30.5333	-91.15	5.0	BATON ROUGE (HARDING FIELD)	1485
65	30.6333	-88.0667	5.0	MOBILE (BROOKLEY AFB)	661
66	30.8333	-93.3667	5.0	DE RIDDER (AFB)	1154
67	31.2667	-89.25	5.0	HATTIESBURG	1210
68	31.4667	-109.6167	5.0	DOUGLAS (AAF)	1752
69	31.5167	-103.1333	5.0	PYOTE (AFB)	1395
70	31.62	25.93	5.0	SIDI BARRANI	1563
71	31.6333	-97.0667	5.0	WACO (JAMES CONNALLY AFB)	544
72	32.0167	-81.1333	5.0	SAVANNAH HUNTER AFB	1973
73	32.1667	-110.8833	5.0	TUCSON (DAVIS-MONTHAN AFB)	236
74	32.25	-107.7167	5.0	DEMING AAF	518
75	32.3333	-90.2333	5.0	JACKSON (AAB)	400
76	32.35	-104.25	5.0	CARLSBAD AAF	2356
77	32.35	-88.65	5.0	MERIDIAN (KEY FIELD)	2282
78	32.5	-106.4167	5.0	FRYE SITE	155
79	32.5	-85.7667	5.0	TUSKEGEE (AAF)	1157
80	32.5167	-92.05	5.0	MONROE (SELMAN FIELD)	2178
81	32.7333	-117.1667	5.0	SAN DIEGO (LINDBERGH FIELD)	248
82	32.8667	-116.4167	5.0	MOUNT LAGUNA	605
83	32.9167	-80.6333	5.0	WALTERBORO AAF	499
84	33.37	43.57	5.0	AL HABBANIYAH	5634
85	33.4	-117.5	5.0	CAMP PENDLETON	207
86	33.4	-104.5333	5.0	ROSWELL	10819
87	33.45	-94.0	5.0	TEXARKANA	6925
88	33.4667	-82.0333	5.0	AUGUSTA DANIEL FIELD	2266
89	33.48	-90.98	5.0	GREENVILLE	2188
90	33.5	-90.0833	5.0	GREENWOOD AAF	1164
91	33.55	-112.3667	5.0	PHOENIX (LUKE FIELD)	2442
92	33.6	-114.75	5.0	BLYTHE	2084
