	date	temp
0	1976.498288843258	
1	1976.6707734428473	
2	1976.684462696783	
3	1976.7556468172484	
4	1977.7440109514032	297.15
5	1977.782340862423	297.35
6	1977.8097193702943	298.55
7	1977.8206707734428	297.95
8	1980.6570841889118	296.15
9	1980.6652977412732	297.35
10	1980.6762491444217	296.15
11	1980.7091033538672	297.75
12	1980.766598220397	298.15
13	1992.5338809034909	
14	1992.542094455852	
15	1992.5475701574264	
16	1992.5557837097879	
17	1992.5667351129364	
18	1992.5941136208075	
19	1992.8924252794889	
