	date	temp
0	1992.135523613963	290.75
1	1992.1463609399955	289.35
2	1992.1478439425052	289.15
3	1992.1505817932923	290.35
4	1992.1533196440794	290.35
5	1992.1560574948664	290.15
6	1992.1587953456537	288.15
7	1992.1615331964408	290.55
8	1992.167008898015	291.75
9	1992.1902806297057	295.15
10	1992.1916495550993	289.55
11	1992.1943874058863	293.55
12	1992.1971252566734	293.75
13	1992.198380104951	291.75
14	1992.1997490303445	290.95
15	1992.2012320328543	296.95
16	1992.2026009582478	287.75
17	1992.2039698836413	293.55
18	1992.2053388090349	288.15
19	1992.208076659822	292.35
20	1992.2094455852157	293.15
21	1992.2108145106092	293.55
22	1992.21343828428	293.35
23	1992.2162902121834	292.55
24	1992.217659137577	296.55
25	1992.2190280629707	293.75
26	1992.2203969883642	294.15
27	1992.2245037645448	290.75
28	1992.3887748117727	295.95
29	1992.3901437371662	293.35
30	1992.39151266256	290.15
31	1992.394250513347	290.15
32	1992.3969883641341	289.75
33	1992.3983572895277	296.55
34	1992.3997262149212	295.95
35	1992.4010951403147	295.55
36	1992.4024640657085	297.15
37	1992.403832991102	292.35
38	1992.4052019164956	290.95
39	1992.406570841889	293.55
40	1992.4079397672826	291.55
41	1992.4106776180697	
42	1992.416153319644	297.15
43	1992.4188911704312	291.15
44	1992.4216290212185	296.95
45	1992.4242527948893	296.15
46	1992.4269906456766	289.15
47	1992.4298425735797	290.35
48	1992.432580424367	297.35
49	1992.4352041980378	
50	1992.438056125941	289.95
51	1992.4435318275155	296.15
52	1992.4461556011863	
53	1992.4517453798767	290.55
54	1992.454483230664	295.95
55	1992.4571070043348	296.15
56	1992.4599589322381	291.55
57	1992.4626967830254	291.55
58	1992.4680584074836	297.15
59	1992.4709103353866	290.55
60	1992.473648186174	291.35
61	1992.476386036961	291.35
62	1992.479009810632	
63	1992.4818617385351	290.55
64	1992.4845995893224	292.35
65	1992.4873374401095	289.95
66	1992.4900752908966	
67	1992.4928131416839	292.55
68	1992.495550992471	292.55
69	1992.498288843258	292.35
70	1992.5036504677162	293.15
71	1992.5065023956195	
72	1992.5092402464065	292.15
73	1992.5119780971936	
74	1992.5146018708647	291.75
75	1992.517453798768	292.35
76	1992.5228154232261	298.55
77	1992.5255532740132	292.15
78	1992.5284052019165	293.35
79	1992.5311430527036	292.55
80	1992.5337668263746	297.35
81	1992.536618754278	
82	1992.539356605065	292.75
83	1992.542094455852	293.55
84	1992.5475701574264	
85	1992.5503080082135	293.55
86	1992.5529317818846	294.15
87	1992.5556696326717	298.55
88	1992.558521560575	297.15
89	1992.561259411362	291.95
90	1992.563883185033	292.15
91	1992.5694729637235	298.15
92	1992.5722108145105	292.95
93	1992.5748345881816	294.95
94	1992.577686516085	296.95
95	1992.580424366872	298.35
96	1992.583048140543	293.35
97	1992.5885238421172	297.35
98	1992.5912616929045	293.75
99	1992.5968514715948	294.75
100	1992.599589322382	297.75
101	1992.602327173169	297.55
102	1992.60495094684	297.55
103	1992.6076887976271	294.55
104	1992.6105407255304	298.75
105	1992.6131644992015	
106	1992.6160164271048	
107	1992.6187542778919	287.95
108	1992.621378051563	299.55
109	1992.62411590235	299.15
110	1992.6269678302533	299.55
111	1992.6323294547115	297.15
112	1992.6350673054985	295.55
113	1992.6379192334018	293.55
114	1992.6405430070727	294.55
115	1992.643394934976	298.75
116	1992.646018708647	294.15
117	1992.648756559434	298.75
118	1992.6516084873374	294.75
119	1992.6542322610085	300.35
120	1992.6569701117955	
121	1992.6598220396988	298.75
122	1992.6652977412732	
123	1992.6680355920603	294.55
124	1992.6706593657314	
125	1992.6733972165184	293.55
126	1992.6761350673055	
127	1992.6788729180926	294.55
128	1992.6816107688799	291.75
129	1992.684462696783	291.15
130	1992.6872005475702	291.35
131	1992.6899383983573	291.35
132	1992.6925621720284	290.35
133	1992.6954140999314	292.95
134	1992.6980378736025	294.15
135	1992.7008898015058	299.15
136	1992.7063655030802	
137	1992.7117271275383	
138	1992.7144649783254	293.35
139	1992.7172028291125	292.35
140	1992.7200547570158	292.35
141	1992.7226785306868	296.55
142	1992.725416381474	291.75
143	1992.728154232261	296.35
144	1992.730892083048	292.15
145	1992.7337440109513	295.15
146	1992.7363677846224	291.15
147	1992.7392197125257	291.35
148	1992.7418434861966	289.95
149	1992.7445813369839	294.15
150	1992.747319187771	291.35
151	1992.7501711156742	290.95
152	1992.7529089664613	291.55
153	1992.7556468172484	296.55
154	1992.7583846680357	292.15
155	1992.7611225188227	289.75
156	1992.7638603696098	290.95
157	1992.766598220397	295.55
158	1992.769221994068	295.55
159	1992.771959844855	289.55
160	1992.7775496235456	290.35
161	1992.7802874743327	290.15
162	1992.7829112480038	289.75
163	1992.7856490987908	288.55
164	1992.788386949578	292.55
165	1992.7912388774812	293.15
166	1992.7938626511523	293.15
167	1992.7966005019393	293.55
168	1992.7993383527264	292.95
169	1992.8048140543008	290.75
170	1992.8075519050878	294.55
171	1992.810289755875	290.95
172	1992.8158795345653	291.35
173	1992.8185033082364	293.75
174	1992.8212411590234	289.55
175	1992.8239790098107	289.75
176	1992.8268309377138	290.75
177	1992.8294547113849	293.35
178	1992.832192562172	288.75
179	1992.8349304129592	289.15
180	1992.8431439653205	291.55
181	1992.8458818161077	292.55
182	1992.8486196668948	289.75
183	1992.851471594798	290.15
184	1992.8540953684692	289.75
185	1992.8568332192563	289.75
186	1992.8596851471596	293.55
187	1992.8623089208304	292.55
188	1992.8650467716177	290.35
189	1992.8677846224048	288.75
190	1992.8705224731918	287.95
191	1992.873260323979	290.55
192	1992.8788501026695	291.15
