	date	temp
0	1957.5030800821355	
1	1957.5071868583161	296.25
2	1957.5085557837099	298.95
3	1957.5099247091034	296.65
4	1957.5126625598905	296.25
5	1957.514031485284	298.95
6	1957.5154004106776	296.15
7	1957.5195071868584	299.35
8	1957.520876112252	295.55
9	1957.5222450376455	298.15
10	1957.523613963039	295.65
11	1957.5249828884325	297.65
12	1957.526351813826	295.45
13	1957.5290896646134	295.65
14	1957.530458590007	297.75
15	1957.5318275154004	295.75
16	1957.535934291581	300.75
17	1957.5373032169746	296.95
18	1957.5386721423683	296.85
19	1957.5400410677619	295.85
20	1957.542778918549	296.15
21	1957.545516769336	295.65
22	1957.5482546201233	295.25
23	1957.5496235455169	299.25
24	1957.5509924709104	295.55
25	1957.552361396304	298.75
26	1957.5537303216975	295.15
27	1957.555099247091	299.95
28	1957.5564681724845	296.15
29	1957.557837097878	299.35
30	1957.5592060232718	297.05
31	1957.5605749486654	297.05
32	1957.561943874059	295.75
33	1957.5633127994524	300.15
34	1957.564681724846	295.05
35	1957.5660506502395	299.05
36	1957.567419575633	294.75
37	1957.5701574264203	294.35
38	1957.5728952772074	295.15
39	1957.577002053388	299.95
40	1957.5783709787815	295.25
41	1957.5811088295688	294.95
42	1957.5824777549624	299.65
43	1957.583846680356	295.25
44	1957.5879534565365	295.95
45	1957.5893223819303	295.15
46	1957.5920602327174	295.05
47	1957.5975359342915	296.15
48	1957.5989048596853	298.65
49	1957.6030116358659	296.25
50	1957.6043805612594	298.45
51	1957.605749486653	295.75
52	1957.6071184120465	300.55
53	1957.60848733744	295.05
54	1957.6098562628338	299.75
55	1957.6112251882273	295.25
56	1957.6125941136208	298.75
57	1957.6139630390144	295.05
58	1957.615331964408	298.65
59	1957.6167008898015	295.05
60	1957.6194387405885	295.55
61	1957.7152635181383	293.15
62	1957.7166324435318	300.95
63	1957.7180013689253	293.15
64	1957.7207392197124	296.25
65	1957.7221081451062	300.15
66	1957.7248459958932	298.75
67	1957.7262149212868	294.65
68	1957.7275838466803	298.25
69	1957.7303216974674	297.65
70	1957.7330595482547	298.65
71	1957.7344284736482	293.25
72	1957.7357973990418	298.05
73	1957.7385352498288	296.05
74	1957.7399041752224	295.05
75	1957.7412731006161	298.15
76	1957.7426420260097	295.35
77	1957.7440109514032	297.25
78	1957.7467488021903	299.25
79	1957.7494866529773	299.45
80	1957.7522245037646	299.35
81	1957.7549623545517	300.05
82	1957.7577002053388	298.35
83	1957.7604380561258	299.35
84	1957.7631759069131	298.35
85	1957.7645448323067	295.35
86	1957.7932922655716	299.15
87	1957.7946611909651	295.15
88	1957.7960301163587	299.25
89	1957.7987679671457	299.35
90	1957.8001368925393	295.35
91	1957.8015058179328	297.05
92	1957.8028747433266	294.75
93	1957.8042436687201	298.45
94	1957.8056125941137	295.15
95	1957.8069815195072	298.95
96	1957.8083504449007	293.95
97	1957.8097193702943	299.55
98	1957.8124572210816	297.15
99	1957.813826146475	293.45
100	1957.8151950718686	297.85
101	1957.8165639972622	294.75
102	1957.8179329226557	299.45
103	1957.8193018480492	296.55
104	1957.8206707734428	298.85
105	1957.8247775496236	294.85
106	1957.8261464750171	300.15
107	1957.8275154004107	295.85
108	1957.8288843258042	300.35
109	1957.8302532511977	293.95
110	1957.8316221765913	298.75
111	1957.8343600273786	299.35
112	1957.8370978781657	298.85
113	1957.8384668035592	294.05
114	1957.8398357289527	298.65
115	1957.84257357974	297.35
116	1957.8439425051336	295.75
117	1957.845311430527	299.45
118	1957.8466803559206	296.25
119	1957.8494182067077	294.55
120	1957.8507871321012	300.35
121	1957.8521560574948	295.95
122	1957.8535249828885	301.05
123	1957.8562628336756	
124	1957.8603696098562	294.55
125	1957.8617385352497	300.95
126	1957.8631074606435	295.85
127	1957.864476386037	299.35
128	1957.8658453114306	295.65
129	1957.867214236824	301.35
130	1957.8685831622176	295.15
131	1957.8699520876112	299.95
132	1957.8713210130047	296.55
133	1957.8726899383983	300.25
134	1957.874058863792	295.55
135	1957.8754277891856	298.65
136	1957.876796714579	298.05
137	1957.8781656399726	299.65
138	1957.8795345653662	297.25
139	1957.8809034907597	
140	1957.8822724161532	294.95
141	1957.883641341547	297.85
142	1957.8850102669405	295.95
143	1957.886379192334	298.05
144	1957.8891170431211	
145	1957.8918548939082	300.15
146	1957.8932238193017	295.65
147	1957.8945927446955	298.75
148	1957.895961670089	296.45
149	1957.8973305954826	297.65
150	1957.898699520876	295.55
151	1957.9000684462696	297.75
152	1957.9014373716632	296.15
153	1957.905544147844	300.35
154	1957.908281998631	298.65
155	1957.9096509240246	294.55
156	1957.9110198494182	299.95
157	1957.9123887748117	296.15
158	1957.9137577002052	298.15
159	1957.915126625599	296.15
160	1957.9164955509925	299.55
161	1957.917864476386	295.75
162	1957.9192334017796	301.55
