	date	temp
0	1962.7467488021903	
1	1962.7494866529773	
2	1962.7522245037646	
3	1962.7549623545517	
4	1962.7577002053388	
5	1962.7604380561258	
6	1962.7631759069131	
7	1962.7659137577002	
8	1962.7686516084873	
9	1962.7713894592744	
10	1962.7741273100617	
11	1962.7768651608487	
12	1962.7796030116358	
13	1962.782340862423	
14	1962.7850787132102	
15	1962.7878165639972	
16	1962.7905544147843	
17	1962.7932922655716	
18	1962.7960301163587	
19	1962.7987679671457	
20	1962.8015058179328	
21	1962.8042436687201	
22	1962.8069815195072	
23	1962.8097193702943	
24	1962.8124572210816	
25	1962.8151950718686	
26	1962.8288843258042	
27	1962.8316221765913	
28	1962.8343600273786	
29	1962.8370978781657	
30	1962.8398357289527	
31	1962.84257357974	
32	1962.845311430527	
33	1962.8480492813142	
34	1962.8507871321012	
35	1962.8535249828885	
36	1962.8562628336756	
37	1962.8590006844627	
38	1962.8617385352497	
39	1962.864476386037	
40	1962.867214236824	
41	1962.8699520876112	
42	1962.8726899383983	
43	1962.8754277891856	
44	1962.8781656399726	
45	1962.8809034907597	
46	1962.883641341547	
47	1962.886379192334	
48	1962.8891170431211	
49	1962.8918548939082	
50	1962.8945927446955	
51	1962.8973305954826	
52	1962.9000684462696	
53	1962.9028062970567	
54	1962.905544147844	
55	1962.908281998631	
56	1962.9110198494182	
57	1962.9137577002052	
58	1962.9164955509925	
59	1962.9192334017796	
60	1962.9219712525667	
61	1962.924709103354	
62	1962.927446954141	
63	1962.930184804928	
64	1962.9329226557152	
65	1962.9356605065025	
66	1962.9383983572895	
67	1962.9411362080766	
68	1962.9438740588637	
69	1962.946611909651	
70	1962.949349760438	
71	1962.9520876112251	
72	1962.9548254620124	
73	1962.9575633127995	
74	1962.9603011635866	
75	1962.9630390143736	
76	1962.965776865161	
77	1962.968514715948	
78	1962.971252566735	
79	1962.9739904175221	
80	1962.9767282683094	
81	1962.9794661190965	
82	1962.9822039698836	
83	1962.9849418206709	
84	1962.987679671458	
85	1962.990417522245	
86	1962.993155373032	
87	1962.9958932238194	
88	1962.9986310746065	
89	1963.0013689253935	
90	1963.0041067761806	
91	1963.006844626968	
92	1963.009582477755	
93	1963.012320328542	
94	1963.0150581793291	
95	1963.0177960301164	
96	1963.0205338809035	
97	1963.0232717316906	
98	1963.0260095824779	
99	1963.028747433265	
100	1963.031485284052	
101	1963.034223134839	
102	1963.0369609856264	
103	1963.0396988364134	
104	1963.0424366872005	
105	1963.0451745379876	
106	1963.0479123887749	
107	1963.050650239562	
108	1963.053388090349	
109	1963.0561259411363	
110	1963.0588637919234	
111	1963.0616016427105	
112	1963.0643394934975	
113	1963.0670773442848	
114	1963.069815195072	
115	1963.072553045859	
116	1963.075290896646	
117	1963.0780287474333	
118	1963.0807665982204	
119	1963.0835044490075	
120	1963.0862422997948	
121	1963.0889801505818	
122	1963.091718001369	
123	1963.094455852156	
124	1963.0971937029433	
125	1963.0999315537304	
126	1963.1026694045174	
127	1963.1054072553045	
128	1963.1081451060918	
129	1963.1108829568789	
130	1963.113620807666	
131	1963.116358658453	
132	1963.1190965092403	
133	1963.1218343600274	
134	1963.1245722108144	
135	1963.1273100616017	
136	1963.1300479123888	
137	1963.132785763176	
138	1963.135523613963	
139	1963.1382614647503	
140	1963.1409993155373	
141	1963.1437371663244	
142	1963.1464750171115	
143	1963.1492128678988	
144	1963.1519507186858	
145	1963.154688569473	
146	1963.15742642026	
147	1963.2450376454483	
148	1963.2477754962354	
149	1963.2505133470227	
150	1963.2532511978097	
151	1963.2559890485968	
152	1963.2589550536163	
153	1963.2614647501712	
154	1963.2642026009582	
155	1963.2669404517453	
156	1963.2696783025326	
157	1963.2724161533197	
158	1963.2751540041068	
159	1963.2778918548938	
160	1963.2806297056811	
161	1963.2833675564682	
162	1963.2861054072553	
163	1963.2888432580423	
164	1963.2915811088296	
165	1963.2943189596167	
166	1963.2970568104038	
167	1963.299794661191	
168	1963.3025325119781	
169	1963.3052703627652	
170	1963.3080082135523	
