	date	temp
0	2003.6007300935432	299.45
1	2003.6092858772531	301.75
2	2003.6120237280402	303.15
3	2003.6124800365046	303.45
4	2003.6147615788273	299.55
5	2003.6152178872917	301.15
6	2003.6176135067305	296.95
7	2003.6203513575176	294.75
8	2003.623089208305	294.15
9	2003.62411590235	294.15
10	2003.6254848277435	293.95
11	2003.626853753137	299.75
12	2003.628450832763	298.75
13	2003.6297056810404	299.35
14	2003.636436230892	292.95
15	2003.637120693589	293.75
16	2003.6384896189825	293.95
17	2003.6399726214922	293.95
18	2003.6412274697695	
19	2003.642596395163	292.55
20	2003.6439653205566	
21	2003.6454483230664	293.15
22	2003.646703171344	294.75
23	2003.6480720967375	294.75
24	2003.6508099475245	290.75
25	2003.652178872918	296.75
26	2003.6549167237051	293.65
27	2003.656285649099	290.35
28	2003.6851471594798	300.55
29	2003.6864020077574	300.35
30	2003.687770933151	299.35
31	2003.6891398585444	299.65
32	2003.690508783938	299.35
33	2003.6918777093315	299.55
34	2003.693246634725	296.95
35	2003.6946155601186	292.95
36	2003.6959844855123	293.35
37	2003.6973534109059	292.55
38	2003.6987223362994	293.55
39	2003.700091261693	295.15
40	2003.7014601870865	294.55
41	2003.70282911248	296.55
42	2003.7041980378735	296.95
43	2003.705566963267	296.95
44	2003.7117271275383	295.55
45	2003.7137805156285	304.05
46	2003.7192562172029	293.95
47	2003.7267853068674	291.35
48	2003.728154232261	295.75
49	2003.7356833219255	294.55
50	2003.7384211727128	292.35
51	2003.7397900981064	293.75
52	2003.7425279488934	291.15
53	2003.743896874287	289.95
54	2003.7452657996805	291.75
55	2003.7460643394934	292.15
56	2003.746634725074	291.95
57	2003.747319187771	292.25
58	2003.7480036504678	293.75
59	2003.7486881131645	294.55
60	2003.7493725758613	296.55
61	2003.750057038558	294.35
62	2003.7507415012549	295.05
63	2003.7527948893453	283.55
64	2003.7542778918548	286.75
65	2003.759639516313	286.55
66	2003.7610084417065	293.35
67	2003.7623773671003	296.55
68	2003.7664841432809	299.55
69	2003.772644307552	300.35
70	2003.7740132329454	300.35
71	2003.7808578599133	298.15
72	2003.7822267853069	297.75
73	2003.7835957107004	299.75
74	2003.7870180241844	294.55
75	2003.7877024868812	294.35
76	2003.788386949578	293.55
77	2003.7897558749714	292.05
78	2003.791124800365	287.15
79	2003.7966005019393	285.15
80	2003.797284964636	285.95
81	2003.7979694273329	288.95
82	2003.7986538900298	288.75
83	2003.8000228154233	290.55
84	2003.80070727812	290.35
85	2003.8013917408168	290.75
86	2003.8020762035135	290.55
87	2003.8027606662104	289.15
88	2003.804129591604	290.55
89	2003.8048140543008	291.55
90	2003.8054985169974	292.65
91	2003.8061829796943	293.35
92	2003.9609856262834	288.15
93	2003.965092402464	287.75
94	2003.965776865161	288.55
95	2003.9664613278576	291.35
96	2004.031485284052	283.35
97	2004.0328542094455	286.55
98	2004.0335386721424	288.15
99	2004.0355920602328	292.15
100	2004.0362765229295	291.15
101	2004.0369609856264	288.55
102	2004.037645448323	289.55
103	2004.0390143737166	289.35
104	2004.0396988364134	289.75
105	2004.041067761807	289.15
106	2004.0417522245039	289.55
107	2004.0424366872005	288.75
108	2004.043805612594	288.75
109	2004.0451745379876	286.95
110	2004.0458590006845	287.15
111	2004.0485968514715	284.55
112	2004.0800821355235	287.95
113	2004.0807665982204	289.35
114	2004.081451060917	289.95
115	2004.082135523614	290.15
116	2004.0828199863108	289.95
117	2004.0835044490075	290.55
118	2004.0841889117044	291.15
119	2004.132101300479	287.75
120	2004.1334702258728	288.65
121	2004.141683778234	
122	2004.1437371663244	282.15
123	2004.1444216290213	279.35
124	2004.1457905544148	281.95
125	2004.1464750171115	283.55
126	2004.1471594798084	282.15
127	2004.1478439425052	283.35
128	2004.1492128678988	284.75
129	2004.1498973305954	286.55
130	2004.1519507186858	287.95
131	2004.1526351813827	288.15
132	2004.1533196440794	287.85
133	2004.154688569473	288.55
134	2004.1552589550536	288.15
135	2004.157312343144	287.55
136	2004.1587953456537	287.15
137	2004.1594798083504	286.75
138	2004.1601642710473	286.15
139	2004.160848733744	285.75
140	2004.1635865845312	284.25
141	2004.1978097193703	285.55
142	2004.1984941820672	286.35
143	2004.1991786447638	286.95
144	2004.1998631074607	287.75
145	2004.2005475701574	287.15
146	2004.201916495551	289.75
147	2004.2046543463382	285.05
148	2004.2065936573124	285.95
149	2004.2127538215834	284.35
150	2004.2169746748802	283.55
151	2004.2558749714808	293.15
152	2004.2580424366872	289.75
153	2004.2607802874743	288.35
154	2004.261350673055	288.35
155	2004.264088523842	290.15
156	2004.264772986539	290.95
157	2004.2724161533197	286.55
158	2004.2731006160163	287.55
159	2004.2743554642939	286.15
160	2004.2751540041068	285.75
161	2004.2757243896874	286.15
162	2004.2765229295003	285.95
163	2004.2772073921972	286.35
164	2004.2778918548938	285.85
165	2004.2785763175907	286.95
166	2004.2791467031714	286.95
167	2004.2799452429842	288.15
168	2004.2859913301393	291.35
169	2004.2867898699521	292.35
170	2004.2874743326488	288.55
171	2004.2996805840748	288.35
172	2004.3003650467717	290.15
173	2004.3011635865846	289.95
174	2004.3017339721653	289.95
175	2004.302418434862	288.55
176	2004.3032169746748	289.15
177	2004.3037873602555	287.75
178	2004.3045859000686	288.35
179	2004.3114305270362	288.55
180	2004.3133698380104	287.25
181	2004.3141683778233	287.55
182	2004.314738763404	288.25
183	2004.3154232261008	287.25
184	2004.3162217659137	286.95
185	2004.3169062286106	287.65
186	2004.3175906913073	287.75
187	2004.3182751540041	288.75
188	2004.3222678530688	287.75
189	2004.3229523157654	288.75
190	2004.3237508555783	289.55
191	2004.3250057038558	288.55
192	2004.3256901665527	286.75
193	2004.3263746292494	285.55
194	2004.3270590919462	285.55
195	2004.327743554643	288.35
196	2004.3291124800364	289.75
197	2004.3297969427333	290.15
198	2004.33048140543	291.75
199	2004.3311658681268	291.35
200	2004.3887748117727	289.15
201	2004.3901437371662	288.55
202	2004.4017796030116	289.55
