	date	temp
0	1973.044490075291	298.45
1	1973.047227926078	298.65
2	1973.049965776865	299.35
3	1973.0527036276524	295.65
4	1973.0581793292265	295.15
5	1973.0609171800138	299.55
6	1973.0636550308009	298.65
7	1973.066392881588	298.65
8	1973.069130732375	298.15
9	1973.0718685831623	298.75
10	1973.0773442847365	300.55
11	1973.0800821355235	295.85
12	1973.088295687885	299.65
13	1973.091033538672	301.35
14	1973.0937713894593	298.35
15	1973.0965092402464	299.95
16	1973.1019849418208	299.15
17	1973.1047227926078	295.35
18	1973.107460643395	295.65
19	1973.110198494182	296.45
20	1973.1129363449693	296.35
21	1973.1156741957564	295.95
22	1973.1211498973305	296.15
23	1973.1238877481178	296.65
24	1973.1266255989049	299.05
25	1973.129363449692	298.85
26	1973.132101300479	297.65
27	1973.1348391512663	299.55
28	1973.1375770020534	300.25
29	1973.1403148528404	298.45
30	1973.1430527036277	299.15
31	1973.1457905544148	296.55
32	1973.148528405202	293.85
33	1973.151266255989	298.75
34	1973.1540041067763	299.55
35	1973.1567419575633	300.15
36	1973.1594798083504	299.05
37	1973.1622176591377	299.45
38	1973.1649555099248	300.75
39	1973.1676933607118	300.35
40	1973.170431211499	299.45
41	1973.1731690622862	298.15
42	1973.1759069130733	298.65
43	1973.1841204654347	297.65
44	1973.1868583162218	299.05
45	1973.1895961670089	298.65
46	1973.192334017796	299.65
47	1973.1950718685832	301.55
48	1973.1978097193703	298.65
49	1973.2005475701574	299.85
50	1973.2060232717317	299.55
51	1973.2087611225188	299.05
52	1973.2114989733059	299.55
53	1973.2142368240932	297.85
54	1973.2169746748802	298.55
55	1973.2197125256673	300.05
56	1973.2224503764544	299.65
57	1973.2251882272417	300.15
58	1973.2279260780288	299.55
59	1973.2306639288158	298.65
60	1973.233401779603	299.15
61	1973.2361396303902	298.55
62	1973.2388774811773	299.65
63	1973.2416153319643	299.05
64	1973.2443531827516	298.15
65	1973.2470910335387	300.65
66	1973.2498288843258	298.65
67	1973.2525667351129	298.05
68	1973.2553045859001	297.95
69	1973.2580424366872	300.55
70	1973.2607802874743	300.95
71	1973.2635181382614	298.35
72	1973.2662559890487	299.45
73	1973.2689938398357	299.15
74	1973.2717316906228	300.95
75	1973.27446954141	301.05
76	1973.2772073921972	300.75
77	1973.2799452429842	301.05
78	1973.2826830937713	301.15
79	1973.2854209445586	300.15
80	1973.2881587953457	301.65
81	1973.2908966461328	299.15
82	1973.2936344969198	299.85
83	1973.2991101984942	298.25
84	1973.3018480492813	300.85
85	1973.3045859000686	298.75
86	1973.3073237508556	297.65
87	1973.3100616016427	298.35
88	1973.3127994524298	298.75
89	1973.315537303217	296.85
90	1973.3182751540041	298.65
91	1973.3210130047912	299.75
92	1973.3237508555783	301.75
93	1973.3264887063656	301.55
94	1973.3292265571527	300.95
95	1973.3319644079397	301.05
96	1973.3347022587268	301.85
97	1973.337440109514	300.65
98	1973.3401779603012	301.75
99	1973.3429158110882	300.35
100	1973.3456536618755	300.75
101	1973.3483915126626	300.15
102	1973.3511293634497	299.15
103	1973.3538672142367	298.15
104	1973.356605065024	300.65
105	1973.359342915811	299.65
106	1973.3620807665982	302.05
107	1973.3648186173853	302.15
108	1973.3675564681726	302.05
109	1973.3702943189596	301.15
110	1973.3730321697467	299.25
111	1973.3757700205338	297.15
112	1973.378507871321	297.75
113	1973.3812457221081	295.65
114	1973.3839835728952	297.45
115	1973.3867214236825	296.85
116	1973.3894592744696	296.85
117	1973.3921971252566	297.65
118	1973.3949349760437	298.55
119	1973.5811088295688	298.45
120	1973.5824777549624	298.75
121	1973.583846680356	295.65
122	1973.5852156057495	301.15
123	1973.586584531143	296.75
124	1973.5879534565365	299.85
125	1973.5893223819303	296.85
126	1973.5906913073238	296.25
127	1973.5920602327174	295.65
128	1973.593429158111	300.35
129	1973.5947980835044	298.05
130	1973.596167008898	299.55
131	1973.5975359342915	297.15
132	1973.5989048596853	304.45
133	1973.6002737850788	297.85
134	1973.6016427104723	304.15
135	1973.6030116358659	298.55
136	1973.6043805612594	305.65
137	1973.605749486653	298.75
138	1973.6071184120465	295.35
139	1973.60848733744	296.75
140	1973.6098562628338	302.95
141	1973.6112251882273	297.55
142	1973.6125941136208	297.55
143	1973.6139630390144	297.35
144	1973.615331964408	298.15
145	1973.6167008898015	298.55
146	1973.618069815195	299.65
147	1973.6194387405885	298.35
148	1973.6221765913758	298.95
149	1973.624914442163	296.45
150	1973.62765229295	298.45
151	1973.6303901437373	297.45
152	1973.6331279945243	298.15
153	1973.6358658453114	295.45
154	1973.6386036960985	297.15
155	1973.6413415468858	296.95
156	1973.6440793976728	295.95
157	1973.64681724846	296.45
158	1973.6495550992472	297.15
159	1973.6522929500343	296.75
160	1973.6550308008214	296.85
161	1973.6577686516084	296.85
162	1973.6605065023957	295.15
163	1973.6632443531828	295.05
164	1973.6659822039699	296.05
165	1973.668720054757	296.95
166	1973.6714579055442	296.65
167	1973.6741957563313	297.15
168	1973.6769336071184	295.15
169	1973.6824093086927	296.95
170	1973.6851471594798	297.35
171	1973.6878850102669	296.65
172	1973.6906228610542	296.15
173	1973.6933607118413	297.15
174	1973.6960985626283	297.15
175	1973.6988364134154	296.45
176	1973.7015742642027	296.55
177	1973.7043121149898	296.35
178	1973.7070499657768	294.75
179	1973.709787816564	295.55
180	1973.7782340862423	296.05
181	1973.7809719370293	296.15
182	1973.7837097878166	296.85
183	1973.7864476386037	296.25
184	1973.7891854893908	296.55
185	1973.791923340178	297.55
186	1973.7946611909651	295.95
187	1973.7973990417522	297.35
